Dim_Lojas.Regiao,ID_Produto,total_vendas,qtd_vendas,ticket_medio,clientes_unicos,lojas_unicas,canais_unicos,idade_media_clientes,idade_std_clientes,fidelidade,vendas_por_cliente,vendas_por_loja,ticket_relativo,vendas_relativa_regiao,participacao_lojas,score_produto_regiao,<18,18-25,26-35,36-50,50+,concentracao_vendas_loja
SUDESTE PARAENSE,241441,399.98,199.98,2.0001000100010002,1,1,1,27.0,,0.0,199.98,199.98,0.45004295874835,0.00310991830360628,0.14285714285714285,0.1815884830630084,0.0,0.0,1.0,0.0,0.0,
SUDESTE PARAENSE,225407,399.98,199.98,2.0001000100010002,1,1,1,33.0,,0.0,199.98,199.98,0.45004295874835,0.00310991830360628,0.14285714285714285,0.1815884830630084,0.0,0.0,1.0,0.0,0.0,
SUDESTE PARAENSE,256251,399.98,199.99,2.0,1,1,1,31.0,,0.0,199.99,199.99,0.4500204554752489,0.0031100738150726076,0.14285714285714285,0.18157954395835446,0.0,0.0,1.0,0.0,0.0,
SUDESTE PARAENSE,252767,399.98,199.99,2.0,1,1,1,44.0,,0.0,199.99,199.99,0.4500204554752489,0.0031100738150726076,0.14285714285714285,0.18157954395835446,0.0,0.0,0.0,1.0,0.0,
SUDESTE PARAENSE,256753,399.98,199.99,2.0,1,1,1,37.0,,0.0,199.99,199.99,0.4500204554752489,0.0031100738150726076,0.14285714285714285,0.18157954395835446,0.0,0.0,0.0,1.0,0.0,
SUDESTE PARAENSE,256277,399.98,199.99,2.0,1,1,1,31.0,,0.0,199.99,199.99,0.4500204554752489,0.0031100738150726076,0.14285714285714285,0.18157954395835446,0.0,0.0,1.0,0.0,0.0,
SUDESTE PARAENSE,256730,399.98,199.99,2.0,1,1,1,37.0,,0.0,199.99,199.99,0.4500204554752489,0.0031100738150726076,0.14285714285714285,0.18157954395835446,0.0,0.0,0.0,1.0,0.0,
SUDESTE PARAENSE,214380,399.98,199.99,2.0,1,1,1,34.0,,0.0,199.99,199.99,0.4500204554752489,0.0031100738150726076,0.14285714285714285,0.18157954395835446,0.0,0.0,1.0,0.0,0.0,
SUDESTE PARAENSE,212911,399.98,199.99,2.0,1,1,1,37.0,,0.0,199.99,199.99,0.4500204554752489,0.0031100738150726076,0.14285714285714285,0.18157954395835446,0.0,0.0,0.0,1.0,0.0,
SUDESTE PARAENSE,209027,399.98,199.99,2.0,1,1,1,30.0,,0.0,199.99,199.99,0.4500204554752489,0.0031100738150726076,0.14285714285714285,0.18157954395835446,0.0,0.0,1.0,0.0,0.0,
SUDESTE PARAENSE,154997,399.98,199.99,2.0,1,1,1,37.0,,0.0,199.99,199.99,0.4500204554752489,0.0031100738150726076,0.14285714285714285,0.18157954395835446,0.0,0.0,0.0,1.0,0.0,
